id,first_name,last_name,gameweek_18_points
298,Billy,Sharp,0.0
299,Jake,Eastwood,0.0
300,Mark,Duffy,0.0
301,John,Fleck,0.0
302,Oliver,Norwood,0.0
303,David,McGoldrick,0.0
304,Jannik,Vestergaard,0.0
305,Ryan,Bertrand,0.0
306,Yan,Valery,0.0
307,Jan,Bednarek,0.0
308,Jack,Stephens,2.0
309,Matt,Targett,0.0
310,Maya,Yoshida,0.0
311,Kayne,Ramsay,0.0
312,Charlie,Austin,0.0
313,Danny,Ings,2.0
314,Michael,Obafemi,0.0
315,Shane,Long,1.0
316,Sam,Gallagher,0.0
317,Fraser,Forster,0.0
318,Alex,McCarthy,0.0
319,Angus,Gunn,0.0
320,Nathan,Redmond,0.0
321,James,Ward-Prowse,1.0
322,Mohamed,Elyounoussi,0.0
323,Stuart,Armstrong,0.0
324,Mario,Lemina,0.0
325,Pierre-Emile,Højbjerg,0.0
326,Tyreke,Johnson,0.0
327,Callum,Slattery,0.0
328,Oriol,Romeu Vidal,0.0
329,Ben,Davies,0.0
330,Jan,Vertonghen,0.0
331,Toby,Alderweireld,0.0
332,Danny,Rose,0.0
333,Davinson,Sánchez,0.0
334,Kieran,Trippier,0.0
335,Juan,Foyth,0.0
336,Serge,Aurier,0.0
337,Kyle,Walker-Peters,0.0
338,Harry,Kane,0.0
339,Vincent,Janssen,0.0
340,Hugo,Lloris,0.0
341,Paulo,Gazzaniga,0.0
342,Heung-Min,Son,0.0
343,Christian,Eriksen,0.0
344,Bamidele,Alli,0.0
345,Lucas,Rodrigues Moura da Silva,0.0
346,Erik,Lamela,0.0
347,Harry,Winks,0.0
348,Victor,Wanyama,0.0
349,Moussa,Sissoko,0.0
350,Eric,Dier,0.0
351,Luke,Amos,0.0
352,Oliver,Skipp,0.0
353,José,Holebas,0.0
354,Christian,Kabasele,2.0
355,Adam,Masina,0.0
356,Adrian,Mariappa,1.0
357,Francisco,Femenía Far,1.0
358,Craig,Cathcart,1.0
359,Daryl,Janmaat,0.0
360,Marc,Navarro,0.0
361,Sebastian,Prödl,0.0
362,Troy,Deeney,1.0
363,Gerard,Deulofeu,0.0
364,Andre,Gray,0.0
365,Isaac,Success Ajayi,0.0
366,Ben,Foster,2.0
367,Pontus,Dahlberg,0.0
368,Abdoulaye,Doucouré,0.0
369,Roberto,Pereyra,0.0
370,Will,Hughes,0.0
371,Tom,Cleverley,0.0
372,Ken,Sema,0.0
373,Etienne,Capoue,0.0
374,Nathaniel,Chalobah,0.0
375,Domingos,Quina,0.0
376,Aaron,Cresswell,0.0
377,Angelo,Ogbonna,0.0
378,Arthur,Masuaku,0.0
379,Pablo,Zabaleta,0.0
380,Ryan,Fredericks,0.0
381,Issa,Diop,0.0
382,Fabián,Balbuena,0.0
383,Winston,Reid,0.0
384,Ben,Johnson,0.0
385,Marko,Arnautovic,0.0
386,Javier,Hernández Balcázar,0.0
387,Alexandre Nascimento,Costa Silva,0.0
388,Lukasz,Fabianski,0.0
389,Michail,Antonio,0.0
390,Felipe Anderson,Pereira Gomes,0.0
391,Manuel,Lanzini,0.0
392,Andriy,Yarmolenko,0.0
393,Robert,Snodgrass,0.0
394,Jack,Wilshere,0.0
395,Declan,Rice,0.0
396,Mark,Noble,0.0
397,Carlos,Sánchez,0.0
398,Grady,Diangana,0.0
399,Pablo,Fornals,0.0
400,Pedro,Obiang,0.0
401,Matt,Doherty,1.0
402,Jonathan,Castro Otto,0.0
403,Conor,Coady,0.0
404,Ryan,Bennett,0.0
405,Willy,Boly,0.0
406,Rúben Gonçalo,Silva Nascimento Vinagre,0.0
407,Romain,Saïss,1.0
408,Max,Kilman,0.0
409,Raúl,Jiménez,1.0
410,Diogo,Jota,0.0
411,Rui Pedro,dos Santos Patrício,1.0
412,John,Ruddy,0.0
413,Will,Norris,0.0
